tags	description
2-4-years-experience-needed	Advanced Radiotherapy Consulting is seeking an Executive Administrative Assistant for their office in downtown, South Bend, IN.    The ideal candidate will be experienced in handling a wide range of administrative and executive support related tasks and will be able to work independently with little or no supervision. This person must be exceedingly well organized, flexible and enjoy the administrative challenges of supporting an executive.     Duties/Responsibilities:   - Scheduling, planning and managing of the executives meetings/responsibilities.  - Initiating communication with executive and to assist with producing results from    assigned task lists.   - Management of project related documentation and business contacts.  - Respond to phone calls, emails, voice-mails, and written correspondence.   - Assist with executive’s personal obligations and overall organization administrative tasks.     Required/Education Skills:  - High school diploma required.  Some college courses/specialized secretarial training preferred.  - Excellent communication skills.   - Healthcare experience a plus.   - Minimum of 2 years’ experience in supporting executive level staff.  - Ability to multitask and handle multiple projects.  - Detail orientated and personable.  - Proficient in all aspects of Microsoft Office with advanced PowerPoint and Excel capabilities.   - Transportation and valid driver’s license with a satisfactory DMV (driving record).  - Evening and weekend work may be required.     If interested in a great opportunity send cover letter and resume to:  Vicki Thompson, Director Career Services or contact  XXX 
	Hibachi Teppanyaki restaurant is hiring  servers, hostess, bus boy, kitchen helper.   No Experience Necessary.  Experience is preferred.   Please drop in or email the resume.
	Our emphasis is on Excellence.  We have positions available for the strongest candidates in the industry.  Our industry experience helps us offer unmatched service and support to our employees. As a Marine repair company, we continually seek talented individuals for our Pipefitting Department.  If you wish to be considered for current, please submit your resume.  Our employees benefit from; steady work ,unmatched pay, superior safety culture and a family of seasoned professionals united under a common goal; to get it done right each and every day.  Current needs are for:  PIPE FITTER - First Shift  Please include contact information as well as a current resume when submitting  Immediate Start for Project  ©2013 Indeed – Terms of Service –
1-year-experience-needed	Grab this career enhancing opportunity to utilize your skills to support financial advisors across the nation.  WE2 is currently seeking an Operations Liaison to join our Houston, TX office.  In this role you will be an integral team member and assist with the explosive growth WE2 is experiencing today.      A. POSITION OVERVIEW    The individual selected must possess the ability to work in a fast paced environment where change occurs rapidly due to the expanding marketplace. Ability to provide a high level of customer service, can work independently, detailed oriented and demonstrate attention to details.                                EST.  C. KNOWLEDGE & SKILLS DESIRED:  High school diploma or GED preferred.  1+ years of experience preferred. 1+ years of office experience preferred.  FINRA Series 6 or 7 and 65 or 66 licenses are a plus. Strong verbal communication, diplomatic and interpersonal skills required. Attention to detail and follow-up skills required.             D. SUPERVISION RECEIVED:  Position receives supervision from the President of WE2.    Tasks and projects have predetermined standards for completion and deadlines.  Incumbent alerts the department head to problems, issues and potential threats to meeting deadlines.      F. COMPLEXITY AND DIFFICULTY:   Complexity and difficulty are derived from the requirements of processing and reconciling the information in time to achieve accurate and timely execution at the price requested. Additional stress may occur in responding to representative inquires about trading, execution or communication errors. Undetected errors or untimely execution can result in significant financial loss for the company.    G.  PHYSICAL DEMANDS AND WORKING ENVIRONMENT    PHYSICAL:   Employee is occasionally required to stand; walk; sit; and lift and/or move up to 25 pounds.  Specific vision abilities required by the job include close vision, distance vision, color vision, peripheral vision, depth perception, and the ability to adjust focus.  ENVIRONMENT: The noise level in the work environment is usually moderate
2-4-years-experience-needed	*The Market has changed, why haven’t you…?*  *Metropolitan Home Mortgage DBA Intelliloan* has been in this business for 20 years.  If you’re a professional loan officer who wants to join a company with the strength, leadership, and commitment to grow during this time of change you owe it to yourself to get to know us.  Our sales leadership team has proven strategies for closing on more of the pre-screened leads we generate.  That’s right, we generate our own leads in house and they are prescreened by our highly trained Mortgage Specialist Trainees (MST’S) before being transferred to a loan officer.  *Requirements:*  • Must be licensed under NMLS and CA-DOC/DBO • 2+ years of mortgage origination experience  • Knowledge of multiple loan products • Drive to become a Top Producer • Great communication skills and the ability to handle all our incoming leads  There is ample opportunity for production and career growth in the current market and we recognize that in order to significantly grow production we must hire the best of the best.  You know who you are! If you consider yourself to be a top producer and want to take your career to the next level, then send your resume today to be a part of a company with a proven track record for success.  *UP TO $20K BONUS POTENTIAL!*   *What we offer:* • Marketing (We make the phone ring) • ALL Inbound pre-screened leads • Rewarding Career (The ability to help home owners nationwide) • Proven products & programs  • Commitment to consistent pricing methodology • Competitive compensation plan  • Healthy/Professional working environment   • Internal growth opportunities  *Send your resume today for immediate consideration.*
salary associate-needed supervising-job 2-4-years-experience-needed	Synergy Consulting Group is looking to place a Help Desk Analyst in a permanent position with a strong, growing company in the Cleveland area.  This position pays an annual salary between $36,000 - $42,000, depending on experience.  In this position, you will provide first and second level support to users with computer hardware and software issues. The person in this position needs to be proficient with Microsoft Office products and Windows operating systems.  Also, you should be able to demonstrate accurate and proficient problem solving and troubleshooting skills, resolving computer hardware, network and software problems.   Essential Duties:  Support local and remote user questions, problems, and needs with prompt and courteous attention Perform daily monitoring, verifying the integrity and availability of resources Perform daily administration activities Laptop and desktop imaging, configuration, deployment and support Onsite desktop/laptop/thin client support AD account administration Provide end user training/support for applications Excellent interpersonal, communication and teamwork skills. Effective verbal and written communications skills  Skills and Knowledge:  Familiar with help desk software (IssueTrak) Proficient with Microsoft operating systems Experience supporting mobile device (BlackBerry, iPhone, iPad, Android) Experience with Microsoft Server operating systems General knowledge of networking protocols Experience with VMware, Citrix, Symantec Endpoint Protection, Windows Update Server, Spiceworks a plus  Education and Experience:  Associates Degree required, Bachelor's Degree preferred 3+ years work experience A+ or other industry certification is a plus
	Variety of  jobs available throughout Texas. Please review the entire list for all locations. *You will need to let me know which position(s) you are interested in applying for.* Please submit your resume/CV in an editable word document. Be sure to include your personal e-mail, best phone contact number, and Job ID with resume/CV submission. Complete job descriptions available with submission of resume.    *Transportation* Learning and Development Manager Caterpillar Dealership – Abilene/Odessa/Midland Job ID RS940437   *Human Resources* HR Specialist Packaging Company – Kilgore, TX Job ID RS914007  Benefits Manager Houston, TX Job ID RS933231   *Engineering* Industrial Engineer, Business Improvement (Aluminum Mfg) – Point Comfort, TX Job ID RS896101  Senior Quality Engineer – Amarillo, TX Job ID RS931981   *Medical Device* Senior Marketing Manager Medical Device Epilepsy – Houston, TX Job ID RS930762  Quality Assurance Specialist Medical Device – Houston, TX Job ID RS930789   *Sales/Customer Service* Head of Key Accounts (Specialty Chemicals, Oil Business) – Houston, TX Job ID. RS915406  Head of Business Line – Refinery – Houston, TX Job ID RS924992  Senior Sales Representative (Aggregates and Construction Materials) Houston, TX Job ID RS930603  Online Customer Experience Manager (Mobile Provider) – Dallas, TX Job ID RS927448 Account Executive (IT, Hardware – Junior Position) – Dallas, TX Job ID RS900555 Small Business Account Representative (Mobile Provider) El Paso, TX Job ID RS940226   *Please NO VISA Applicants.* Relocation is available for most positions. We look forward to working with you.  Best Regards: Bill Moore, Sr. Search Consultant, Reliable Staffing, San Antonio, TX
full-time-job 2-4-years-experience-needed	Meadowbrook Veterinary Clinic Seeking a Full Time Veterinary Assistant  The Veterinary Technician Assistant supports the veterinarians, veterinary technicians and receptionists in all duties of the hospital, and ensures a comfortable and sanitary environment for all patients at Meadowbrook Veterinary Clinic.  ESSENTIAL FUNCTIONS: • Receive, handle and treat patients with skill, compassion and care including: accurately perform laboratory tests. • Ability to clean and sanitize the hospital, treatment rooms and public areas and any other areas as assigned to ensure a safe, sanitary environment for the patients. • Accurately dispense and administer medications under the supervision of a doctor. • Accurately and timely input data into computer software system. • Ability to observe animal appearance and activity for general physical condition, obvious signs of illness, disease and discontent. • Regular attendance and timeliness are an essential function in order to fulfill the requirements of this position. • Strong communication and client service skills. Considerable tact and diplomacy is required. Ability to work with clients and patients in a professional, friendly, hospitable manner. • Work well with all team members and ensure that your actions support the hospital, the doctors, and the practice philosophy. • Perform general physical activities that require bending, standing, stooping, moving from room to room, sit, talk, and listen; may be required to walk or stand for long periods of time; will use hands to manipulate, handle, or feel; will reach with hands and arms. • Frequently lift, carry and handle dogs weighing 50 lbs.  ABOUT MEADOWBROOK VETERINARY CLINIC Meadowbrook Veterinary Clinic of Peoria, P.C. is an AAHA certified full-service veterinary medical facility with boarding and grooming available located in Peoria, IL. Our professional and courteous staff seeks to provide the best possible medical care, surgical care and dental care for our highly-valued patients. We are committed to promoting responsible pet ownership, preventative health care and health-related educational opportunities for our clients. We strive to offer excellence in veterinary care to Peoria, IL and the surrounding areas.  Position must be filled immediately. Only serious inquires only please. Prefer 3+ years of experience. Knowledge of Cornerstone a plus but not required.  Please apply online or stop by the clinic and complete an application. Please bring resume and cover letter with you when you complete an application. Meadowbrook Veterinary Clinic- 1624 W. War Memorial Dr., Peoria, IL 61614
full-time-job	Chipheads Computer Repair Shop is the premier independently owned retail repair shop in the Twin Cities area. We are looking for experienced on site repair techs that enjoy working with the general public. You must be able to successfully visit 4-5 sites per day, diagnose and offer solutions to a variety of computer problems including hardware failure, software failure, virus issues, networking issues and small business server issues, and document the results.   In store duties also include phone work, check in/out systems, diagnosis and repair of customer computers, scheduling on site repair jobs, keeping spaces clean and contributing positively to our customers experience.  You must have a clean driving record and the ability to navigate the metro area.   All full time employees are eligible for health care, sick time and vacation benefits. This is not a contract position.  Previous experience in a retail computer repair environment (G*** Squad, etc.) will be given priority reviews. Go to Careers at the bottom of our home page, www.example.com and follow the instructions to apply. NO RESUMES WILL BE ACCEPTED without the completed questionnaire available at our website.   We will not accept ANY resume not accompanied by the filled out questionnaire available on our website.  Also we are not accepting entry level applications for this position.  Thanks and we hope to hear from you soon!
licence-needed	Under the direction of the Physician Supervisor, apply and modify the principles, methods and techniques of medicine to provide comprehensive occupational medical services. Diagnose and treat a variety of diseases and injuries. Provide leadership, direction and coordination of all clinical activities involving professional medical judgement. Work closely with Administrator to ensure comprehensive delivery of services and quality patient care. Cooperate with management in the direction of all center activities to ensure accomplishment of all center objectives. Evaluate medical procedures and everyday situations and suggest ways to improve delivery of service and profitability. Participate in center growth plans.  ESSENTIAL DUTIES AND RESPONSIBILITIES  Physician Assistant provides medical treatment of work-related illnesses and injuries. Services must be limited to: services within the training or experience of the physician assistant, services customary to the practice of the supervising physician, services delegated by the supervising physician Physician Assistant charts all patient transactions in accordance with company policies and procedures. Write orders and record progress notes which will be reviewed and countersigned by the supervising physician. Physician Assistant communicates and work with medical staff to ensure coordinated efforts for the provision of high quality medical treatment and client service. Physician Assistant assists management in identifying, analyzing and resolving work problems. Physician Assistant evaluates the effectiveness of existing clinical methods and procedures and suggest improvements. Physician Assistant assists clinical staff in understanding and complying with policies and procedures. Physician Assistant complies with company policies regarding ethical, legal and professional issues. Physician Assistant complies with applicable regulations and with Corporate policies and procedures. Physician Assistant maintains quality assurance for all medical issues and assist in the solution of any medical problems. Maintain patient confidentiality. Communicate staff suggestions and/or complaints to Medical Director. Support efforts of administrative and marketing personnel in securing new and maintaining current business as required. Participate in professional development activities and maintain professional affiliations. KNOWLEDGE, SKILLS AND ABILITIES  Knowledge of professional medical practices related to treatment of work-related illness and injuries. Knowledge of organizational and medical policies, regulations and procedures. Knowledge of medical equipment and instruments. Knowledge of common safety hazards and precautions to establish a safe medical environment. Skill in developing and maintaining records, writing reports, and responding to correspondence. Skill in developing and maintaining medical quality assurance and quality control standards. Skill in establishing and maintaining effective working relationships with patients, medical staff and the general public. Ability to react calmly, objectively and effectively in emergency situations. Ability to communicate clearly with patients, staff and clients. Good telephone manners and etiquette. Detail oriented and organized. Excellent people skills. Ability to motivate and work effectively with others. EDUCATION  Graduation from an accredited PA program.  EXPERIENCE  Previous experience in Occupational, Emergency, Ortho, Internal Medicine or General Practice preferred.  LICENSE/CERTIFICATION  National Commission on Certification of Physician’s Assistants; current state CA license.
